U+00A0 ~ \xA0 ~ 160	latin1 †  	utf8 ¬†  	NO-BREAK SPACE
U+00A1 ~ \xA1 ~ 161	latin1 ° !	utf8 ¬° !	INVERTED EXCLAMATION MARK
U+00AA ~ \xAA ~ 170	latin1 ™ a	utf8 ¬™ a	FEMININE ORDINAL INDICATOR
U+00AB ~ \xAB ~ 171	latin1 ´ "	utf8 ¬´ "	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
U+00B1 ~ \xB1 ~ 177	latin1 ± +/-	utf8 ¬± +/-	PLUS-MINUS SIGN
U+00B2 ~ \xB2 ~ 178	latin1 ≤ 2	utf8 ¬≤ 2	SUPERSCRIPT TWO
U+00B3 ~ \xB3 ~ 179	latin1 ≥ 3	utf8 ¬≥ 3	SUPERSCRIPT THREE
U+00B8 ~ \xB8 ~ 184	latin1 ∏ 	utf8 ¬∏ 	CEDILLA
U+00B9 ~ \xB9 ~ 185	latin1 π 1	utf8 ¬π 1	SUPERSCRIPT ONE
U+00BA ~ \xBA ~ 186	latin1 ∫ o	utf8 ¬∫ o	MASCULINE ORDINAL INDICATOR
U+00BB ~ \xBB ~ 187	latin1 ª "	utf8 ¬ª "	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
U+00BC ~ \xBC ~ 188	latin1 º 1/4	utf8 ¬º 1/4	VULGAR FRACTION ONE QUARTER
U+00BD ~ \xBD ~ 189	latin1 Ω 1/2	utf8 ¬Ω 1/2	VULGAR FRACTION ONE HALF
U+00BE ~ \xBE ~ 190	latin1 æ 3/4	utf8 ¬æ 3/4	VULGAR FRACTION THREE QUARTERS
U+00BF ~ \xBF ~ 191	latin1 ø ?	utf8 ¬ø ?	INVERTED QUESTION MARK
U+00C0 ~ \xC0 ~ 192	latin1 ¿ A	utf8 √Ä A	LATIN CAPITAL LETTER A WITH GRAVE
U+00C1 ~ \xC1 ~ 193	latin1 ¡ A	utf8 √Å A	LATIN CAPITAL LETTER A WITH ACUTE
U+00C2 ~ \xC2 ~ 194	latin1 ¬ A	utf8 √Ç A	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
U+00C3 ~ \xC3 ~ 195	latin1 √ A	utf8 √É A	LATIN CAPITAL LETTER A WITH TILDE
U+00C5 ~ \xC5 ~ 197	latin1 ≈ A	utf8 √Ö A	LATIN CAPITAL LETTER A WITH RING ABOVE
U+00C6 ~ \xC6 ~ 198	latin1 ∆ AE	utf8 √Ü AE	LATIN CAPITAL LETTER AE
U+00C7 ~ \xC7 ~ 199	latin1 « C	utf8 √á C	LATIN CAPITAL LETTER C WITH CEDILLA
U+00C8 ~ \xC8 ~ 200	latin1 » E	utf8 √à E	LATIN CAPITAL LETTER E WITH GRAVE
U+00C9 ~ \xC9 ~ 201	latin1 … E	utf8 √â E	LATIN CAPITAL LETTER E WITH ACUTE
U+00CA ~ \xCA ~ 202	latin1   E	utf8 √ä E	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
U+00CB ~ \xCB ~ 203	latin1 À E	utf8 √ã E	LATIN CAPITAL LETTER E WITH DIAERESIS
U+00CC ~ \xCC ~ 204	latin1 Ã I	utf8 √å I	LATIN CAPITAL LETTER I WITH GRAVE
U+00CD ~ \xCD ~ 205	latin1 Õ I	utf8 √ç I	LATIN CAPITAL LETTER I WITH ACUTE
U+00CE ~ \xCE ~ 206	latin1 Œ EI	utf8 √é EI	LATIN CAPITAL LETTER I WITH CIRCUMFLEX
U+00CF ~ \xCF ~ 207	latin1 œ i	utf8 √è i	LATIN CAPITAL LETTER I WITH DIAERESIS
U+00D0 ~ \xD0 ~ 208	latin1 – D	utf8 √ê D	LATIN CAPITAL LETTER ETH
U+00D1 ~ \xD1 ~ 209	latin1 — N	utf8 √ë N	LATIN CAPITAL LETTER N WITH TILDE
U+00D2 ~ \xD2 ~ 210	latin1 “ O	utf8 √í O	LATIN CAPITAL LETTER O WITH GRAVE
U+00D3 ~ \xD3 ~ 211	latin1 ” O	utf8 √ì O	LATIN CAPITAL LETTER O WITH ACUTE
U+00D4 ~ \xD4 ~ 212	latin1 ‘ O	utf8 √î O	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
U+00D5 ~ \xD5 ~ 213	latin1 ’ O	utf8 √ï O	LATIN CAPITAL LETTER O WITH TILDE
U+00D7 ~ \xD7 ~ 215	latin1 ◊ x	utf8 √ó x	MULTIPLICATION SIGN
U+00D8 ~ \xD8 ~ 216	latin1 ÿ ÷	utf8 √ò √ñ	LATIN CAPITAL LETTER O WITH STROKE
U+00D9 ~ \xD9 ~ 217	latin1 Ÿ U	utf8 √ô U	LATIN CAPITAL LETTER U WITH GRAVE
U+00DA ~ \xDA ~ 218	latin1 ⁄ U	utf8 √ö U	LATIN CAPITAL LETTER U WITH ACUTE
U+00DB ~ \xDB ~ 219	latin1 € AU	utf8 √õ AU	LATIN CAPITAL LETTER U WITH CIRCUMFLEX
U+00DD ~ \xDD ~ 221	latin1 › Y	utf8 √ù Y	LATIN CAPITAL LETTER Y WITH ACUTE
U+00DE ~ \xDE ~ 222	latin1 ﬁ Th	utf8 √û Th	LATIN CAPITAL LETTER THORN
U+00E0 ~ \xE0 ~ 224	latin1 ‡ a	utf8 √† a	LATIN SMALL LETTER A WITH GRAVE
U+00E1 ~ \xE1 ~ 225	latin1 · a	utf8 √° a	LATIN SMALL LETTER A WITH ACUTE
U+00E2 ~ \xE2 ~ 226	latin1 ‚ a	utf8 √¢ a	LATIN SMALL LETTER A WITH CIRCUMFLEX
U+00E3 ~ \xE3 ~ 227	latin1 „ a	utf8 √£ a	LATIN SMALL LETTER A WITH TILDE
U+00E5 ~ \xE5 ~ 229	latin1 Â a	utf8 √• a	LATIN SMALL LETTER A WITH RING ABOVE
U+00E6 ~ \xE6 ~ 230	latin1 Ê ae	utf8 √¶ ae	LATIN SMALL LETTER AE
U+00E7 ~ \xE7 ~ 231	latin1 Á c	utf8 √ß c	LATIN SMALL LETTER C WITH CEDILLA
U+00E8 ~ \xE8 ~ 232	latin1 Ë e	utf8 √® e	LATIN SMALL LETTER E WITH GRAVE
U+00E9 ~ \xE9 ~ 233	latin1 È e	utf8 √© e	LATIN SMALL LETTER E WITH ACUTE
U+00EA ~ \xEA ~ 234	latin1 Í e	utf8 √™ e	LATIN SMALL LETTER E WITH CIRCUMFLEX
U+00EB ~ \xEB ~ 235	latin1 Î e	utf8 √´ e	LATIN SMALL LETTER E WITH DIAERESIS
U+00EC ~ \xEC ~ 236	latin1 Ï i	utf8 √¨ i	LATIN SMALL LETTER I WITH GRAVE
U+00ED ~ \xED ~ 237	latin1 Ì i	utf8 √≠ i	LATIN SMALL LETTER I WITH ACUTE
U+00EE ~ \xEE ~ 238	latin1 Ó ei	utf8 √Æ ei	LATIN SMALL LETTER I WITH CIRCUMFLEX
U+00EF ~ \xEF ~ 239	latin1 Ô i	utf8 √Ø i	LATIN SMALL LETTER I WITH DIAERESIS
U+00F0 ~ \xF0 ~ 240	latin1  d	utf8 √∞ d	LATIN SMALL LETTER ETH
U+00F1 ~ \xF1 ~ 241	latin1 Ò n	utf8 √± n	LATIN SMALL LETTER N WITH TILDE
U+00F2 ~ \xF2 ~ 242	latin1 Ú o	utf8 √≤ o	LATIN SMALL LETTER O WITH GRAVE
U+00F3 ~ \xF3 ~ 243	latin1 Û o	utf8 √≥ o	LATIN SMALL LETTER O WITH ACUTE
U+00F4 ~ \xF4 ~ 244	latin1 Ù o	utf8 √¥ o	LATIN SMALL LETTER O WITH CIRCUMFLEX
U+00F5 ~ \xF5 ~ 245	latin1 ı o	utf8 √µ o	LATIN SMALL LETTER O WITH TILDE
U+00F8 ~ \xF8 ~ 248	latin1 ¯ ˆ	utf8 √∏ √∂	LATIN SMALL LETTER O WITH STROKE
U+00F9 ~ \xF9 ~ 249	latin1 ˘ u	utf8 √π u	LATIN SMALL LETTER U WITH GRAVE
U+00FA ~ \xFA ~ 250	latin1 ˙ u	utf8 √∫ u	LATIN SMALL LETTER U WITH ACUTE
U+00FB ~ \xFB ~ 251	latin1 ˚ au	utf8 √ª au	LATIN SMALL LETTER U WITH CIRCUMFLEX
U+00FD ~ \xFD ~ 253	latin1 ˝ y	utf8 √Ω y	LATIN SMALL LETTER Y WITH ACUTE
U+00FE ~ \xFE ~ 254	latin1 ˛ th	utf8 √æ th	LATIN SMALL LETTER THORN
U+00FF ~ \xFF ~ 255	latin1 ˇ y	utf8 √ø y	LATIN SMALL LETTER Y WITH DIAERESIS
